English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
Instant_noodles_in_soup_with_satay_beef,640,64,29,27,0,37,0,0,54,2200,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Udon_in_soup_with_assorted_seafood,410,58,31,0,0,85,0,0,85,2100,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,38
Fried_noodles_with_soya_sauce,680,100,23,21,0,0,0,0,68,2100,2,1,2,11,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,28
Fried_vermicelli,660,110,15,19,0,15,0,0,70,1600,2,1,2,11,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28
Fried_rice_vermicelli_in_Singapore-style,1100,120,39,51,0,280,22,0,130,2100,2,1,2,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,34
Fried_rice_vermicelli_in_Xiamen-style,1100,150,38,43,0,290,14,28,140,2300,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,34
Stewed_rice_vermicelli_with_preserved_mustard_green_and_shredded_roasted_duck,1000,130,34,38,0,79,18,0,100,2900,2,1,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38
Stewed_rice_vermicelli_with_preserved_mustard_green_and_shredded_pork,860,120,30,29,0,35,15,0,120,2800,2,1,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Fried_rice_noodles_with_assorted_meat_and_seafood_and_chilli_sauce_(Thai-style),1200,180,32,46,0,230,0,0,110,2700,2,1,2,11,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,38
Fried_rice_noodles_with_sliced_beef,970,140,26,33,5,45,14,0,65,2300,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Fried_rice_noodles_with_sliced_beef_and_assorted_vegetable,1000,150,27,36,0,20,15,0,120,2000,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_vegetable_and_beef,990,99,42,48,7,58,13,0,100,2400,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_vegetable_and_sliced_pork,1000,100,42,49,0,61,0,0,110,2100,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_vegetable_and_spare_rib,1200,100,50,68,13,120,0,0,180,2300,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_preserved_vegetable_and_sliced_pork,1200,120,41,61,10,85,17,12,85,2700,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Fried_noodles_with_preserved_vegetable_and_spare_rib,1400,120,49,72,14,140,16,14,120,3300,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
